"concept","code","name","level","parent"
"coicop18","CP0431","Security equipment and materials for dwelling maintenance and repair",4,"CP043"
"coicop18","CP04311","Materials for the maintenance and repair of the dwelling (ND)",5,"CP0431"
"coicop18","CP04312","Security equipment (SD)",5,"CP0431"
"coicop18","CP0432","Services for the maintenance, repair and security of the dwelling (S)",4,"CP043"
"coicop18","CP04320","Services for the maintenance, repair and security of the dwelling (S)",5,"CP0432"
"coicop18","CP044","Water supply and miscellaneous services relating to the dwelling",3,"CP04"
"coicop18","CP0441","Water supply (ND)",4,"CP044"
"coicop18","CP04411","Water supply delivered through network systems (ND)",5,"CP0441"
"coicop18","CP04412","Water supply delivered through other systems (ND)",5,"CP0441"
"coicop18","CP0442","Refuse collection (S)",4,"CP044"
"coicop18","CP04420","Refuse collection (S)",5,"CP0442"
"coicop18","CP0443","Sewage collection (S)",4,"CP044"
"coicop18","CP04431","Sewage collection through sewer systems (S)",5,"CP0443"
"coicop18","CP04432","Sewage collection through on-site sanitation systems (S)",5,"CP0443"
"coicop18","CP0444","Other services related to the dwelling (S)",4,"CP044"
"coicop18","CP04441","Charges for maintenance of multi-occupied buildings (S)",5,"CP0444"
"coicop18","CP04449","Other services related to the dwelling n.e.c. (S)",5,"CP0444"
"coicop18","CP045","Electricity, gas and other fuels",3,"CP04"
"coicop18","CP0451","Electricity (ND)",4,"CP045"
"coicop18","CP04510","Electricity (ND)",5,"CP0451"
"coicop18","CP0452","Gas (ND)",4,"CP045"
"coicop18","CP04521","Natural gas through networks (ND)",5,"CP0452"
"coicop18","CP04522","Liquefied hydrocarbons (ND)",5,"CP0452"
"coicop18","CP0453","Liquid fuels (ND)",4,"CP045"
"coicop18","CP04530","Liquid fuels (ND)",5,"CP0453"
"coicop18","CP0454","Solid fuels (ND)",4,"CP045"
"coicop18","CP04541","Coal, coal briquettes, peat and peat briquettes (ND)",5,"CP0454"
"coicop18","CP04542","Wood fuel, including pellets and briquettes (ND)",5,"CP0454"
"coicop18","CP04543","Charcoal (ND)",5,"CP0454"
"coicop18","CP04549","Other solid fuels (ND)",5,"CP0454"
"coicop18","CP0455","Other energy for heating and cooling (ND)",4,"CP045"
"coicop18","CP04550","Other energy for heating and cooling (ND)",5,"CP0455"
"coicop18","CP05","Furnishings, household equipment and routine household maintenance",2,"TOTAL"
"coicop18","CP051","Furniture, furnishings, and loose carpets",3,"CP05"
"coicop18","CP0511","Furniture, furnishings and loose carpets (D)",4,"CP051"
"coicop18","CP05111","Household furniture (D)",5,"CP0511"
"coicop18","CP05112","Garden and camping furniture (D)",5,"CP0511"
"coicop18","CP05113","Lighting equipment (D)",5,"CP0511"
"coicop18","CP05114","Furnishings, loose carpets and rugs (D)",5,"CP0511"
"coicop18","CP0512","Repair, installation and hire of furniture, furnishings and loose carpets (S)",4,"CP051"
"coicop18","CP05120","Repair, installation and hire of furniture, furnishings and loose carpets (S)",5,"CP0512"
"coicop18","CP052","Household textiles",3,"CP05"
"coicop18","CP0521","Household textiles (SD)",4,"CP052"
"coicop18","CP05211","Furnishing fabrics and curtains (SD)",5,"CP0521"
"coicop18","CP05212","Bed linen and bedding (SD)",5,"CP0521"
"coicop18","CP05213","Table linen and bathroom linen (SD)",5,"CP0521"
"coicop18","CP05219","Other household textiles (SD)",5,"CP0521"
"coicop18","CP0522","Repair, hire and sewing services of household textiles (S)",4,"CP052"
"coicop18","CP05220","Repair, hire and sewing services of household textiles (S)",5,"CP0522"
"coicop18","CP053","Household appliances",3,"CP05"
"coicop18","CP0531","Major electric and other household appliances (D)",4,"CP053"
"coicop18","CP05311","Major kitchen appliances (D)",5,"CP0531"
"coicop18","CP05312","Major laundry appliances (D)",5,"CP0531"
"coicop18","CP05313","Heaters and air conditioners (D)",5,"CP0531"
"coicop18","CP05314","Cleaning equipment (D)",5,"CP0531"
"coicop18","CP05319","Other major household appliances (D)",5,"CP0531"
"coicop18","CP0532","Small household appliances (SD)",4,"CP053"
"coicop18","CP05321","Small appliances for the cooking and processing of food (SD)",5,"CP0532"
"coicop18","CP05322","Small appliances for the preparation of beverages (SD)",5,"CP0532"
